  清除	  Clear
备注	Notes
复制	Copy
多端云同步	Multi-device cloud sync
天	days
天蓝	Sky Blue
好的	OK
如设每月31日，小月自动落在当月最后一天	If set to the 31st, shorter months fall on their last day
妇女节	Women's Day
完成	Done
完成一个清单后，把它归档收在这里	Archive finished lists to keep them here
完整备份（JSON）	Full backup (JSON)
官方表情包（104 枚内置）	Official sticker packs (104 built-in)
密码已修改	Password changed
密码（至少 6 位）	Password (6+ characters)
导出	Export
导出失败	Export failed
将永久删除 Looka 云端全部数据（本机数据保留）。登录凭证与自知录共用，将予保留。此操作不可撤销。	Permanently deletes all Looka cloud data (local data stays). Login credentials are shared with zhi.foyue.org and will be kept. This cannot be undone.
小年	Little New Year
小米 / 华为 / OPPO / vivo 需在系统设置中允许 Looka 自启动	On Xiaomi / Huawei / OPPO / vivo, allow Looka to auto-start in system settings
小鹿 AI	Looka AI
小鹿 AI 助手	Looka AI assistant
小鹿 AI 对话不限次数（防滥用限速：每天 100 次，正常使用碰不到）	Unlimited AI chat (fair-use cap of 100/day you'll never hit normally)
小鹿 AI 对话（不限次）	Looka AI chat (unlimited)
小鹿 Looka，可爱版九色鹿，你的极简生活手帐。\n\n	Looka, the cute Nine-Colored Deer — your minimal life planner.\n\n
小鹿出错了：{0}	Looka hit an error: {0}
小鹿正在想…	Looka is thinking…
小鹿没想好怎么回答，换个说法试试？	Looka isn't sure — try rephrasing?
小鹿识别中…	Recognizing…
工作	Work
已保存	Saved
已修改全部	All updated
已修改本次	This one updated
已修改本次及以后	This & future updated
已允许，再点一次「AI 润色」开始	Allowed — tap "AI polish" again to start
已刷新	Refreshed
已发送	Sent
已复制一份	Duplicated
已复制被覆盖的内容	Overwritten content copied
已套用模板	Template applied
已存为模板	Saved as template
已完成任务	Completed tasks
已完成任务 {0} 项	{0} tasks done
已完成清单	Completed lists
已导出 {0} 条数据	Exported {0} items
已导出 {0} 条日程	Exported {0} events
已导出 {0} 篇	Exported {0} entries
已开启	On
已归档，可在「已完成清单」中找到	Archived — find it in "Completed lists"
已是最新版本 🦌	Already up to date 🦌
已注销	Account deleted
已添加 {0} 个子任务	Added {0} subtasks
已添加 {0} 项	Added {0} items
已添加任务	Task added
已清除，恢复走 Looka 服务端	Cleared — back to Looka's server
已贴上表情	Sticker added
已贴上表情并创建日程	Sticker added & event created
已退出登录（本机数据保留）	Signed out (local data kept)
已逾期	Overdue
带截止日期的任务会出现在日历上	Tasks with due dates appear on the calendar
帮我总结一下本周 📋	Summarize my week 📋
帮我规划明天	Plan tomorrow
年	
应用到哪些日程？	Apply to which occurrences?
建党节	CPC Founding Day
建军节	Army Day
廿一	21st
廿七	27th
廿三	23rd
廿九	29th
廿二	22nd
廿五	25th
廿八	28th
廿六	26th
廿四	24th
开始写…	Start writing…
归档清单	Archive list
当前密码	Current password
当前版本已停止支持，请更新后继续使用	This version is no longer supported — please update to continue
当天	Same day
待办	Tasks
待办到期：{0}	Task due: {0}
忘记密码？	Forgot password?
忽略电池优化	Ignore battery optimization
恢复	Restore
恢复失败	Restore failed
恢复完成，合并 {0} 条	Restored — merged {0} items
我的清单	My list
截止日期	Due date
找回密码	Reset password
找回邮箱	Recovery email
拆解失败，再试一次	Split failed, try again
按日期 · 每月{0}日	By date · day {0} monthly
按星期 · 每月第{0}个周{1}	By weekday · {0}th {1} monthly
按条目合并，新者优先，不会清空现有数据	Merged item by item, newer wins; nothing is wiped
换绑	Change
提前多久提醒	Remind how early
提醒	Reminders
提醒不响时来这里	If reminders don't fire, start here
提醒不响？逐项检查下面四关。改完回到本页会自动刷新。	Reminders silent? Check the four gates below. This page refreshes when you come back.
提醒时刻	Reminder time
提醒自检	Reminder check-up
搜索	Search
搜索任务…	Search tasks…
搜索日程 / 任务 / 笔记 / 日记	Search events / tasks / notes / diary
收起高级选项	Hide advanced
改动会自动同步到云端	Changes sync automatically
教师节	Teachers' Day
新密码（至少 6 位）	New password (6+ characters)
新建	New
新建任务	New task
新建日程	New event
新建日程默认值	New event defaults
新建清单	New list
新建颜色	New color
无	None
无标题	Untitled
日	Sun
日历	Calendar
日历 / 待办 / 笔记 / 日记 / 表情	Calendar / tasks / notes / diary / stickers
日历与默认设置	Calendar & defaults
日程	Event
日程名	Event name
日程名，例：健身打卡	Event name, e.g. Workout
日程提醒	Event reminders
日程模板	Event templates
日程（ICS 日历文件）	Events (ICS calendar file)
日视图	Day view
日记	Diary
日记最私密，默认关闭；开启后才能使用 AI 润色	Diaries are most private — off by default; required for AI polish
时间日程默认提醒	Default timed reminder
时间显示为 9:30 AM 形式	Show times like 9:30 AM
明天	Tomorrow
明天 · {0}	Tomorrow · {0}
明天安排	Tomorrow
明天有什么安排？	What's on tomorrow?
星标	Starred
春节	Spring Festival
显示	Display
显示农历与节日	Show lunar calendar & festivals
显示设置	Display settings
显示详细设置	Show details
暂不	Not now
暂无提醒	No reminders
暖橙	Warm Orange
更多	More
替换原文	Replace text
最近	Recent
月/周/日视图中的农历、节假日	Lunar dates & festivals in month/week/day views
月视图	Month view
有 {0} 个任务逾期未完成	{0} overdue tasks
未分类	Uncategorized
未命名任务	Untitled task
未命名日程	Untitled event
未命名模板	Untitled template
未完成任务 {0} 项	{0} tasks open
未授予日历读取权限	Calendar permission not granted
未来 7 天	Next 7 days
未来 7 天没有带日期的任务	No dated tasks in the next 7 days
未登录	Not signed in
未绑定 · 无法找回密码，建议尽快绑定	Not bound · password can't be reset — bind one soon
未设置	Not set
本周总结	Week recap
本周日程：	This week's events:
本周日记 {0} 篇，心情：	{0} diary entries this week, moods:
本次及以后	This & future
权益	Benefits
来自系统日历「{0}」	From system calendar "{0}"
标签系统 · 无限清单（规划中）	Labels · unlimited lists (planned)
标题	Title
根据我的日程和未完成任务，帮我把明天规划一下	Plan my tomorrow based on my events and open tasks
检查失败，请稍后再试	Check failed, try again later
检查更新	Check for updates
森绿	Forest Green
植树节	Arbor Day
模型	Model
模型不存在，请检查模型名	Model not found, check the name
樱粉	Sakura Pink
正在后台下载，完成后会自动弹出安装	Downloading in background; installer will pop up when done
正月	Month 1
每	Every
每{0}个月	Every {0} months
每{0}周	Every {0} weeks
每{0}天	Every {0} days
每{0}年	Every {0} years
每周	Weekly
每天	Daily
每年	Yearly
每月	Monthly
没有同步冲突，很和谐	No sync conflicts — all peaceful
没有它任何提醒都发不出来	Without this, no reminder can be shown
没有找到「{0}」相关内容	Nothing found for "{0}"
没有找到可显示的系统日历	No system calendars found
没有识别出可创建的内容，换个说法试试	Nothing recognized — try rephrasing
注册	Sign up
注册成功，欢迎来到 Looka 🦌	Signed up — welcome to Looka 🦌
注销失败	Deletion failed
注销账号（删除云端数据）	Delete account (cloud data)
注销账号？	Delete account?
润色结果	Polished result
添加	Add
添加 {0} 个子任务	Add {0} subtasks
添加任务到「{0}」…	Add a task to "{0}"…
添加到 Looka（{0}）	Add to Looka ({0})
添加失败	Add failed
添加日程	Add event
清单	List
清单内的任务将移入默认清单	Its tasks will move to the default list
清单名，如：购物 / 学习	List name, e.g. Shopping / Study
清单空空的，加一条吧	This list is empty — add one
清明	Qingming
清空	Clear all
清空对话	Clear chat
清除	Clear
清除 Key	Clear key
清除结束日	Clear end date
版本	Plan
珊瑚	Coral
用一句话描述，小鹿帮你安排 🦌	Describe it in one sentence, Looka arranges it 🦌
用户协议	Terms of Service
用户未完成任务：	User's open tasks:
用户未来14天日程：	User's events in the next 14 days:
登录	Sign in
登录后即可使用小鹿 AI 与云同步	Sign in to use Looka AI and cloud sync
登录后即可使用：\n· 多端云同步（手机 / 网页实时互通）\n· 小鹿 AI 对话不限次\n· 注册即代表同意《用户协议》与《隐私政策》（见 关于 Looka）	After signing in:\n· Multi-device cloud sync (app + web)\n· Unlimited Looka AI chat\n· Signing up means you accept the Terms & Privacy Policy (see About Looka)
登录成功	Signed in
确定	OK
确认修改	Confirm
确认注销	Confirm deletion
移到今天	Move to today
稍后	Later
立即同步	Sync now
立即更新	Update now
端午	Dragon Boat
笔记	Notes
笔记·日记	Notes
笔记与日记	Notes & Diary
笔记与日记（Markdown）	Notes & diary (Markdown)
管理分类	Manage categories
精确闹钟	Exact alarms
系统	System
系统日历事件在 Looka 中为只读显示	System calendar events are read-only in Looka
系统日历（只读显示）	System calendars (read-only)
纪念日	Anniversary
纯文本合集，永远可读	Plain text, readable forever
绀青	Deep Blue
绑定	Bind
绑定后点表情可直达日程详情	Tap a linked sticker to open its event
绑定找回邮箱	Bind recovery email
结束日	End date
编辑	Edit
编辑任务	Edit task
编辑分类	Edit category
编辑日程	Edit event
编辑清单	Edit list
网络异常	Network error
网页端	Web
聚合手机上系统/Google 账户的日程	Shows events from system / Google accounts on this phone
腊八	Laba
腊月	Month 12
自启动 / 后台运行	Auto-start / background
藕紫	Lotus Purple
要把它们移到今天继续做吗？保持原日期则显示为已逾期。	Move them to today to keep going? Keeping their dates shows them as overdue.
要求：先 2-3 句总结，再给 2-3 条下周建议，轻松一点，不要输出 json。	Format: 2-3 sentences of recap, then 2-3 suggestions for next week, keep it light, no json.
视图与操作	Views & actions
订阅与小鹿 AI	Subscription & Looka AI
订阅与设置	Subscription & settings
订阅兑换码	Subscription code
识别	Recognize
识别结果	Results
试试：明天下午3点和老王开会；周五前交报告	Try: meeting with Wang 3pm tomorrow; report due Friday
该分类下的日程将归入「未分类」	Its events will move to "Uncategorized"
详情	Details
语言 / Language	Language
请先在「更多 → 账号与同步」登录后使用小鹿 AI（对话不限次）	Sign in first via "More → Account & sync" to use Looka AI (unlimited chat)
请根据以下本周（{0}）真实数据，生成简洁的本周总结与下周建议：	Based on this week's real data ({0}), write a concise recap and suggestions for next week:
请求失败 HTTP {0}	Request failed HTTP {0}
请求失败（HTTP {0}）	Request failed (HTTP {0})
请求过于频繁，稍后再试	Too many requests, try later
账号	Account
账号与同步	Account & sync
账户余额不足	Insufficient balance
贴到哪天	Stamp on which day
贴表情	Add sticker
跟随系统	Follow system
跳转到日期	Jump to date
输入密码确认	Enter password to confirm
近 1 年发生，可导入任何日历应用	Next 12 months, importable anywhere
近1年	1 year
近1月	1 month
近3月	3 months
返回	Back
返回格式异常	Malformed response
还没有星标任务，点任务右侧的 ☆ 收藏	No starred tasks yet — tap ☆ on a task
还没有模板。填好常用日程后存为模板，下次一键复用。	No templates yet. Save a frequent event as a template to reuse in one tap.
还没有笔记，点右上角 + 写一条	No notes yet — tap + to write one
这一天还没有安排	Nothing planned this day
这个时间段还没有完成的任务	No tasks completed in this period
退出登录	Sign out
选择分类	Choose category
通知权限	Notifications
邀请码（仅注册需要）	Invite code (sign-up only)
邮箱	Email
邮箱或手机号	Email or phone
邮箱账号直接接收重置邮件；手机号账号需要先在登录后绑定并验证邮箱。	Email accounts get the reset mail directly; phone accounts must bind & verify an email first (after signing in).
重复	Repeat
重新检查	Re-check
重要	Important
重阳	Double Ninth
鎏金	Gilded Gold
长按任务可拖动排序	Long-press a task to drag & reorder
长按删除	Long-press to delete
长按模板可删除	Long-press a template to delete
闰	Leap 
间隔	Interval
防止系统休眠时杀掉提醒	Prevents the system from killing reminders in deep sleep
除夕	NY Eve
隐私政策	Privacy Policy
青年节	Youth Day
青碧	Teal
高级：使用自己的硅基流动 Key 直连	Advanced: use your own SiliconFlow key
默认全天	All-day by default
默认分类	Default category
龙抬头	Longtaitou
（已关）	(off)
（已隐藏）	(hidden)
（截止{0}）	(due {0})
（无）	(none)
（暂无日程）	(no events)
（用户未授权读取日程数据）	(user has not authorized reading agenda data)
（空白日记）	(blank diary)
＋ 把当前内容存为模板	＋ Save current as template
＋ 添加提醒	＋ Add reminder
日常	Daily
牛来	Cow
表情包	Sticker packs
免费就有	Included free
Pro 解锁	Pro unlocks
数据导出（JSON / 日历 / Markdown）	Export data (JSON / Calendar / Markdown)
全部主题 · 每月新增 · 季节限定（规划中）	All themes · monthly additions · seasonal (planned)
全部表情包 · 每月新增（规划中）	All sticker packs · monthly additions (planned)
智能清单 · 自定义筛选（规划中）	Smart lists · custom filters (planned)
统计与年度回顾（规划中）	Stats & year in review (planned)
更聪明的小鹿（高级模型，规划中）	A smarter deer (premium model, planned)
极简生活手帐	A calm life planner
还没有账号？	No account yet?
已有账号？	Already have an account?
继续即代表同意《用户协议》与《隐私政策》	By continuing you agree to the Terms and Privacy Policy
好的，帮你记上了 🦌	Got it — added for you 🦌
小鹿没太听懂，换个说法再说一次？	I didn't quite catch that — try rephrasing?
密码	Password
邀请码	Invite code
标准	Standard
高级	Premium
旗舰	Flagship
Pro 免费	Free on Pro
1 鹿角	1 antler
5 鹿角	5 antlers
鹿角不足（需 {0}），已用标准模型回答	Not enough antlers (need {0}) — answered with the standard model
高级模型暂时不可用，已用标准模型回答	Premium model unavailable — answered with the standard model
九色主题	Nine colors
兑换订阅码	Redeem code
内测期间全部功能免费开放，暂不收费。\n正式定价与开通方式会提前公告；有建议请联系：looka01@qq.com	Everything is free during the beta — no charges for now.\nPricing will be announced ahead of time. Feedback: looka01@qq.com
高级：使用自己的 AI Key 直连	Advanced: use your own AI key
填入后 AI 请求直连服务商、走你自己的账单，不再经过 Looka 服务端。兼容 OpenAI 格式接口（如硅基流动 siliconflow.cn，在其官网申请 Key）。	Requests go directly to the provider on your own bill, bypassing Looka's server. Works with OpenAI-compatible APIs (e.g. siliconflow.cn — get a key on their site).
修改后对使用同一账号的服务同时生效，其他设备将被退出。	The change applies to all services using this account. Other devices will be signed out.
将永久删除 Looka 云端全部数据（本机数据保留）。登录凭证由统一账号服务管理，将予保留。此操作不可撤销。	Permanently deletes all Looka cloud data (local data is kept). Your login credential is managed by the unified account service and will be kept. This cannot be undone.
更聪明的小鹿（GPT 高级模型）	A smarter deer (premium GPT model)
高级 GPT	Premium GPT
Pro 不限量	Unlimited on Pro
每月 60 次体验	60 tries per month
本月高级模型体验次数已用完，已切回标准模型（开通 Pro 不限量）	Monthly premium tries used up — switched to the standard model (unlimited on Pro)
已排队 {0} 条提醒	{0} reminders scheduled
失败 {0} 条	{0} failed
下一次响铃：约 {0} 分钟后	Next alarm: in about {0} min
当前没有任何已排队的提醒 —— 若你设过提醒，这就是问题所在	No reminders are queued — if you set some, this is the problem
上次调度：{0} 分钟前	Last scheduled: {0} min ago
调度实况	Scheduling status
🔔 立即测试（10 秒后响）	🔔 Test now (rings in 10s)
已安排：10 秒后会响一条测试通知，请退到桌面等它	Scheduled: a test notification will ring in 10s — go to the home screen and wait
测试闹钟安排失败 —— 说明系统拦了闹钟权限	Failed to schedule the test alarm — the system is blocking alarm permission
收到 = 通知链路是通的，问题出在提醒数据或调度；收不到 = 系统在拦截，按上面四关逐项放行。	Received = notifications work, the issue is in scheduling. Not received = the system is blocking; go through the four checks above.
重新调度	Reschedule
已重新调度全部提醒	All reminders rescheduled
测试提醒 🦌	Test reminder 🦌
能看到我，说明通知链路是通的	If you can see me, notifications are working
放弃编辑？	Discard changes?
刚才输入的内容不会保存。	What you typed will not be saved.
放弃	Discard
继续编辑	Keep editing
已复制	Copied
存为笔记	Save as note
已存入笔记 🦌	Saved to notes 🦌
小鹿 · {0}	Deer · {0}
已删除「{0}」	Deleted "{0}"
撤销	Undo
小鹿	Deer
已恢复未保存的草稿	Recovered your unsaved draft
或者，调一个自己的颜色	Or mix a colour of your own
挑一个主色，整本手帐的浅底与深字会自动配好	Pick one colour — the light background and dark text are matched automatically
自定义	Custom
模板	Templates
已选中	Selected
更聪明	Smarter
✨ 更聪明的小鹿	✨ Smarter deer
你填了自己的 AI Key，小鹿直连你的服务商，不提供档位切换	You're using your own AI key — the deer connects directly to your provider, so tiers don't apply
登录后可切换到更聪明的小鹿	Sign in to switch to the smarter deer
支持小鹿 · 开通 Pro	Support Looka · Get Pro
付款后我们会把开通码发到你的账号邮箱，回到这里输入即可。	After payment we'll email your activation code — come back and enter it here.
内测期间全部功能免费开放，暂不收费。\n有建议或问题请联系：looka01@qq.com	Everything is free during the beta — no charges for now.\nQuestions or feedback: looka01@qq.com
打不开浏览器	Couldn't open the browser
14:00 和朋友喝茶	14:00 Tea with a friend
9:00 晨跑	9:00 Morning run
Pro 可以用任意颜色做主题：整本手帐的纸色、按钮、强调色都会跟着换。上面就是你刚选的颜色铺出来的样子。	With Pro you can theme Looka in any color: the paper tint, buttons and accents all follow. Above is exactly how the color you just picked would look.
{0}月{1}	{0}/{1}
了解 Pro	See Pro
付款后回到这里，稍等片刻会自动开通；没动静就点下面「我已付款」。	After paying, come back here — it activates automatically in a moment. If nothing happens, tap "I've paid" below.
在上方输入框写下第一条 ↑	Type your first one in the box above ↑
我已付款，认领订单	I've paid — claim my order
我的手帐	My journal
打开爱发电 → 我的 → 订单，复制那笔订单的「订单号」粘贴到这里。	Open Afdian → Me → Orders, copy that order's number and paste it here.
搜索日程、任务、笔记…	Search events, tasks, notes…
月	Month
清单空空的	This list is empty
点右上角 ＋ 写今天 ↗	Tap ＋ top-right to write today ↗
点右上角 ＋ 写第一条 ↗	Tap ＋ top-right to write your first ↗
点右上角 ＋ 安排一条 ↗	Tap ＋ top-right to add one ↗
订单号	Order number
认领	Claim
认领失败	Claim failed
认领成功，Pro 已开通 🎉	Claimed — Pro is now active 🎉
日历 · 待办 · 笔记 · 日记，一个应用装下你的一天	Calendar · To-dos · Notes · Diary — your whole day in one app
月历连续滚动，农历节假日、系统日历都在一页	Endlessly scrolling calendar with holidays and your system calendar on one page
清单 + 星标 + 未来 7 天，拖一拖就排好	Lists, stars and Next 7 Days — drag to arrange
随手记，和日程住在同一个本子里	Quick notes that live in the same book as your schedule
一天一页，贴上今天的心情印章	One page per day, stamped with today's mood
不注册也能用 —— 数据先存在你自己的手机上	Works without an account — your data stays on your phone first
无广告、不卖数据；注册即送 Pro 试用	No ads, no data selling; sign up and get a free Pro trial
小鹿 AI：「明天下午3点开会」这样说，它就帮你记上	Looka AI: say "meeting at 3pm tomorrow" and it's on your calendar
九色主题 + 印章，手帐是你的样子	Nine-color themes and stamps — a journal that looks like you
下载安卓版	Download for Android
iPhone：用 Safari 打开本页 → 分享 → 添加到主屏幕	iPhone: open this page in Safari → Share → Add to Home Screen
免费	Free
日历 / 待办 / 笔记 / 日记 · 云同步	Calendar / To-dos / Notes / Diary · cloud sync
数据导出	Data export
更聪明的小鹿（高级模型）	Smarter Looka (premium model)
不限量	Unlimited
自创主题颜色	Custom theme colors
Pro：12 元/月 · 98 元/年。内测期注册即送试用，不自动扣费。	Pro: ¥12/mo · ¥98/yr (or via Ko-fi). Free trial during beta; no auto-renewal.
导出数据	Export data
认领爱发电订单	Claim an Afdian order
付款后回到这里，稍等片刻会自动开通；没动静就点「认领订单」。	After paying, come back — it activates automatically in a moment. If nothing happens, tap "Claim my order".
请输入完整的爱发电订单号	Please enter the full Afdian order number
没有找到相关内容	Nothing found
已导出	Exported
调一个自己的颜色	Pick your own color
还没有笔记	No notes yet
随便写点什么吧 ✎	Write whatever you like ✎
⏳ 正在等待付款结果…付完款回到这里就行，通常几秒到账	⏳ Waiting for your payment… just come back here after paying — usually arrives in seconds
✅ Pro 已开通，有效期至 {0}	✅ Pro is active until {0}
内测期注册即送 Pro 试用。\n有建议或问题请联系：looka01@qq.com	Sign up during beta and get a free Pro trial.\nQuestions or ideas: looka01@qq.com
升级 Pro · 12元/月	Upgrade to Pro · ¥12/mo
我没有付款，关闭提示	I didn't pay — dismiss
提前{0}分	{0} min before
更聪明的小鹿 + 自创主题	Smarter Looka + custom themes
有兑换码？	Have a redeem code?
还没收到？我已付款，帮我找订单	Not arrived? I've paid — find my order
高级模型暂时不可用（{0}），已用标准模型回答	Premium model unavailable ({0}) — answered with the standard model
